timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/23 17:35:01.785, 0, 1147 MHz, 810 MHz, 42.26 W, 38, 7 %, 3179 MiB
2026/09/23 17:35:01.785, 1, 2812 MHz, 14001 MHz, 600.32 W, 69, 95 %, 395 MiB
2026/09/23 17:35:02.792, 0, 990 MHz, 405 MHz, 41.12 W, 38, 12 %, 3178 MiB
2026/09/23 17:35:02.792, 1, 2812 MHz, 14001 MHz, 599.59 W, 69, 94 %, 395 MiB
2026/09/23 17:35:03.795, 0, 1050 MHz, 405 MHz, 40.92 W, 38, 10 %, 3178 MiB
2026/09/23 17:35:03.795, 1, 2812 MHz, 14001 MHz, 600.06 W, 69, 94 %, 395 MiB
2026/09/23 17:35:04.808, 0, 1095 MHz, 810 MHz, 41.08 W, 38, 11 %, 3178 MiB
2026/09/23 17:35:04.808, 1, 2812 MHz, 14001 MHz, 600.52 W, 69, 94 %, 395 MiB
2026/09/23 17:35:05.812, 0, 937 MHz, 405 MHz, 40.02 W, 38, 11 %, 3178 MiB
2026/09/23 17:35:05.812, 1, 2805 MHz, 14001 MHz, 599.94 W, 69, 94 %, 395 MiB
2026/09/23 17:35:06.814, 0, 937 MHz, 810 MHz, 41.02 W, 38, 15 %, 3178 MiB
2026/09/23 17:35:06.814, 1, 2812 MHz, 14001 MHz, 599.49 W, 69, 94 %, 395 MiB
2026/09/23 17:35:07.817, 0, 1042 MHz, 405 MHz, 43.04 W, 38, 12 %, 3178 MiB
2026/09/23 17:35:07.817, 1, 2812 MHz, 14001 MHz, 599.80 W, 69, 94 %, 395 MiB
2026/09/23 17:35:08.832, 0, 1050 MHz, 810 MHz, 41.52 W, 38, 12 %, 3178 MiB
2026/09/23 17:35:08.832, 1, 2812 MHz, 14001 MHz, 600.48 W, 69, 94 %, 395 MiB
2026/09/23 17:35:09.833, 0, 915 MHz, 405 MHz, 40.02 W, 38, 7 %, 3178 MiB
2026/09/23 17:35:09.833, 1, 2805 MHz, 14001 MHz, 599.72 W, 69, 94 %, 18 MiB
2026/09/23 17:35:10.847, 0, 937 MHz, 405 MHz, 40.76 W, 38, 15 %, 3178 MiB
2026/09/23 17:35:10.847, 1, 2955 MHz, 14001 MHz, 128.83 W, 54, 0 %, 18 MiB
2026/09/23 17:35:11.861, 0, 990 MHz, 405 MHz, 40.89 W, 38, 28 %, 3178 MiB
2026/09/23 17:35:11.861, 1, 2932 MHz, 14001 MHz, 255.01 W, 67, 100 %, 395 MiB
2026/09/23 17:35:12.875, 0, 937 MHz, 405 MHz, 39.11 W, 38, 7 %, 3178 MiB
2026/09/23 17:35:12.875, 1, 2865 MHz, 14001 MHz, 601.65 W, 68, 100 %, 395 MiB
2026/09/23 17:35:13.880, 0, 960 MHz, 405 MHz, 39.34 W, 38, 7 %, 3178 MiB
2026/09/23 17:35:13.880, 1, 2857 MHz, 14001 MHz, 600.05 W, 68, 100 %, 395 MiB
2026/09/23 17:35:14.883, 0, 1080 MHz, 405 MHz, 40.00 W, 38, 28 %, 3178 MiB
2026/09/23 17:35:14.883, 1, 2797 MHz, 14001 MHz, 599.81 W, 69, 100 %, 395 MiB
2026/09/23 17:35:15.889, 0, 982 MHz, 405 MHz, 40.69 W, 38, 15 %, 3178 MiB
2026/09/23 17:35:15.889, 1, 2790 MHz, 14001 MHz, 600.03 W, 69, 100 %, 395 MiB
2026/09/23 17:35:16.891, 0, 1095 MHz, 810 MHz, 40.46 W, 38, 11 %, 3178 MiB
2026/09/23 17:35:16.891, 1, 2790 MHz, 14001 MHz, 600.08 W, 69, 100 %, 395 MiB
2026/09/23 17:35:17.905, 0, 982 MHz, 405 MHz, 38.88 W, 38, 15 %, 3178 MiB
2026/09/23 17:35:17.905, 1, 2790 MHz, 14001 MHz, 599.93 W, 69, 100 %, 395 MiB
2026/09/23 17:35:18.911, 0, 1080 MHz, 810 MHz, 40.49 W, 38, 7 %, 3178 MiB
2026/09/23 17:35:18.911, 1, 2790 MHz, 14001 MHz, 599.96 W, 69, 100 %, 395 MiB
2026/09/23 17:35:19.916, 0, 1050 MHz, 810 MHz, 39.82 W, 38, 3 %, 3178 MiB
2026/09/23 17:35:19.916, 1, 2782 MHz, 14001 MHz, 599.49 W, 69, 100 %, 395 MiB
2026/09/23 17:35:20.922, 0, 1035 MHz, 405 MHz, 39.78 W, 38, 13 %, 3178 MiB
2026/09/23 17:35:20.922, 1, 2782 MHz, 14001 MHz, 600.10 W, 69, 100 %, 395 MiB
2026/09/23 17:35:21.923, 0, 1245 MHz, 810 MHz, 41.65 W, 39, 17 %, 3178 MiB
2026/09/23 17:35:21.923, 1, 2782 MHz, 14001 MHz, 599.66 W, 69, 100 %, 395 MiB
2026/09/23 17:35:22.927, 0, 1080 MHz, 405 MHz, 40.98 W, 38, 14 %, 3178 MiB
2026/09/23 17:35:22.927, 1, 2790 MHz, 14001 MHz, 600.12 W, 69, 100 %, 395 MiB
2026/09/23 17:35:23.929, 0, 1072 MHz, 810 MHz, 39.38 W, 38, 8 %, 3178 MiB
2026/09/23 17:35:23.929, 1, 2790 MHz, 14001 MHz, 600.28 W, 69, 100 %, 395 MiB
2026/09/23 17:35:24.932, 0, 1110 MHz, 810 MHz, 40.02 W, 39, 7 %, 3178 MiB
2026/09/23 17:35:24.932, 1, 2782 MHz, 14001 MHz, 600.13 W, 69, 100 %, 395 MiB
2026/09/23 17:35:25.934, 0, 1065 MHz, 810 MHz, 40.04 W, 39, 15 %, 3178 MiB
2026/09/23 17:35:25.934, 1, 2790 MHz, 14001 MHz, 600.17 W, 69, 100 %, 395 MiB
2026/09/23 17:35:26.946, 0, 1027 MHz, 810 MHz, 39.30 W, 39, 14 %, 3178 MiB
2026/09/23 17:35:26.946, 1, 2782 MHz, 14001 MHz, 600.10 W, 69, 100 %, 395 MiB
2026/09/23 17:35:27.956, 0, 975 MHz, 405 MHz, 38.61 W, 39, 28 %, 3178 MiB
2026/09/23 17:35:27.956, 1, 2790 MHz, 14001 MHz, 599.81 W, 69, 100 %, 395 MiB
2026/09/23 17:35:28.961, 0, 1552 MHz, 14001 MHz, 48.43 W, 39, 2 %, 3178 MiB
2026/09/23 17:35:28.961, 1, 2782 MHz, 14001 MHz, 599.89 W, 69, 100 %, 395 MiB
2026/09/23 17:35:29.965, 0, 1815 MHz, 14001 MHz, 56.99 W, 39, 2 %, 3178 MiB
2026/09/23 17:35:29.965, 1, 2782 MHz, 14001 MHz, 599.94 W, 69, 100 %, 395 MiB
2026/09/23 17:35:30.966, 0, 937 MHz, 810 MHz, 47.14 W, 39, 11 %, 3178 MiB
2026/09/23 17:35:30.966, 1, 2782 MHz, 14001 MHz, 600.01 W, 69, 100 %, 395 MiB
2026/09/23 17:35:31.971, 0, 825 MHz, 810 MHz, 39.82 W, 39, 10 %, 3178 MiB
2026/09/23 17:35:31.971, 1, 2782 MHz, 14001 MHz, 600.03 W, 69, 100 %, 395 MiB
2026/09/23 17:35:32.974, 0, 930 MHz, 405 MHz, 39.58 W, 39, 24 %, 3178 MiB
2026/09/23 17:35:32.974, 1, 2782 MHz, 14001 MHz, 599.85 W, 69, 100 %, 45 MiB
2026/09/23 17:35:33.989, 0, 1125 MHz, 810 MHz, 42.48 W, 39, 18 %, 3178 MiB
2026/09/23 17:35:33.989, 1, 2955 MHz, 14001 MHz, 235.10 W, 55, 0 %, 18 MiB
2026/09/23 17:35:34.997, 0, 1102 MHz, 405 MHz, 41.17 W, 39, 14 %, 3178 MiB
2026/09/23 17:35:34.997, 1, 2947 MHz, 14001 MHz, 215.23 W, 68, 94 %, 395 MiB
2026/09/23 17:35:36.000, 0, 1327 MHz, 810 MHz, 42.76 W, 39, 14 %, 3178 MiB
2026/09/23 17:35:36.000, 1, 2820 MHz, 14001 MHz, 602.05 W, 68, 93 %, 395 MiB
2026/09/23 17:35:37.006, 0, 1215 MHz, 810 MHz, 43.70 W, 39, 16 %, 3178 MiB
2026/09/23 17:35:37.006, 1, 2820 MHz, 14001 MHz, 599.85 W, 69, 93 %, 395 MiB
2026/09/23 17:35:38.011, 0, 1200 MHz, 810 MHz, 42.85 W, 39, 15 %, 3178 MiB
2026/09/23 17:35:38.011, 1, 2820 MHz, 14001 MHz, 599.71 W, 69, 93 %, 395 MiB
