timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/24 16:07:10.613, 0, 38 MHz, 405 MHz, 26.24 W, 51, 1 %, 3196 MiB
2026/09/24 16:07:10.613, 1, 225 MHz, 7001 MHz, 37.28 W, 50, 0 %, 18 MiB
2026/09/24 16:07:11.618, 0, 37 MHz, 405 MHz, 27.22 W, 51, 1 %, 3196 MiB
2026/09/24 16:07:11.618, 1, 225 MHz, 7001 MHz, 36.97 W, 50, 0 %, 18 MiB
2026/09/24 16:07:12.623, 0, 28 MHz, 405 MHz, 23.82 W, 51, 1 %, 3200 MiB
2026/09/24 16:07:12.623, 1, 28 MHz, 810 MHz, 36.53 W, 49, 0 %, 18 MiB
2026/09/24 16:07:13.631, 0, 225 MHz, 405 MHz, 22.07 W, 51, 1 %, 3198 MiB
2026/09/24 16:07:13.631, 1, 28 MHz, 810 MHz, 16.83 W, 49, 0 %, 18 MiB
2026/09/24 16:07:14.638, 0, 41 MHz, 405 MHz, 24.60 W, 51, 1 %, 3204 MiB
2026/09/24 16:07:14.638, 1, 27 MHz, 405 MHz, 15.20 W, 48, 0 %, 2757 MiB
2026/09/24 16:07:15.642, 0, 36 MHz, 405 MHz, 21.53 W, 51, 1 %, 3204 MiB
2026/09/24 16:07:15.642, 1, 2572 MHz, 14001 MHz, 45.88 W, 49, 0 %, 2757 MiB
2026/09/24 16:07:16.646, 0, 28 MHz, 405 MHz, 20.74 W, 51, 1 %, 3204 MiB
2026/09/24 16:07:16.646, 1, 2572 MHz, 14001 MHz, 66.57 W, 49, 0 %, 2757 MiB
2026/09/24 16:07:17.655, 0, 28 MHz, 405 MHz, 21.15 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:17.655, 1, 2730 MHz, 14001 MHz, 301.31 W, 65, 100 %, 2757 MiB
2026/09/24 16:07:18.659, 0, 32 MHz, 405 MHz, 21.26 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:18.659, 1, 2730 MHz, 14001 MHz, 600.17 W, 66, 100 %, 2757 MiB
2026/09/24 16:07:19.661, 0, 29 MHz, 405 MHz, 22.39 W, 51, 2 %, 3203 MiB
2026/09/24 16:07:19.661, 1, 2722 MHz, 14001 MHz, 600.00 W, 66, 100 %, 2757 MiB
2026/09/24 16:07:20.663, 0, 44 MHz, 405 MHz, 22.98 W, 51, 2 %, 3203 MiB
2026/09/24 16:07:20.663, 1, 2722 MHz, 14001 MHz, 600.02 W, 67, 100 %, 2757 MiB
2026/09/24 16:07:21.668, 0, 28 MHz, 405 MHz, 22.84 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:21.668, 1, 2722 MHz, 14001 MHz, 600.01 W, 67, 100 %, 2757 MiB
2026/09/24 16:07:22.671, 0, 30 MHz, 405 MHz, 22.46 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:22.671, 1, 2722 MHz, 14001 MHz, 599.88 W, 67, 100 %, 2757 MiB
2026/09/24 16:07:23.675, 0, 45 MHz, 405 MHz, 22.86 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:23.675, 1, 2722 MHz, 14001 MHz, 600.00 W, 67, 100 %, 2757 MiB
